ID,Images,Romana,Engleza,Portugheza
44,44.jpg, Moleculă ,Molecule,Molécula
45,45.jpg, Graffiti ,Graffiti,Graffiti
46,46.jpg, Arbitru ,Referee,Juiz
47,47.jpg, Caligrafie ,Calligraphy,Caligrafia
48,48.jpg, Reflexie ,Reflexion,Reflexão
49,49.jpg, Serenadă ,Serenade,Serenata
50,50.jpg, Jeleu ,Jelly,Geléia
51,51.jpg, Fantome ,ghosts,Fantasmas
52,52.jpg, Simbol ,Symbol,Símbolo
53,53.jpg, Știrb ,Toothless,Desdentado
54,54.jpg, Guru ,guru,guru
55,55.jpg, Ingenios ,Ingenious,Engenhoso
56,56.jpg, Vacanță ,Holidays,Feriados
57,57.jpg, Frigăruie ,skewer,espeto
58,58.jpg, Croșetat ,weave,tecer
59,59.jpg, Fibonacci ,fibonacci,Fibonacci
60,60.jpg, Comenzi volan ,Steering wheel controls,Controles do volante
61,61.jpg, Direcții ,Directions,instruções
62,62.jpg, Crimă ,Crime,Crime
63,63.jpg, Olărit ,pottery,cerâmica
64,64.jpg, Noroc ,Luck,Sorte
65,65.jpg, Velier ,sailing vessel,Navio de vela
66,66.jpg, Măsură ,Measure,A medida
67,67.jpg, Condimente ,spices,Especiarias
68,68.jpg, Abstract ,Abstract,Abstrato
69,69.jpg, Echilibru ,Balance,Equilibrar
70,70.jpg, Medicație ,Medication,Medicação
71,71.jpg, Bețiv ,drunk,bêbado
72,72.jpg, Fanfară ,fanfare,fanfarra
73,73.jpg, Mama Natură ,Mother Nature,Mãe natureza
74,74.jpg, Fitness,Fitness,fitness
75,75.jpg, Alpaca ,  Alpaca,alpaca
76,76.jpg, Anatomie ,  Anatomy,anatomia
77,77.jpg, Bufniță ,  Owl,coruja
78,78.jpg, Tipar ,Pattern,padrão
79,79.jpg, Nicovală ,  Anvil,bigorna
80,80.jpg, Balerin ,  dancer,dançarina
81,81.jpg, Acord ,  agreement,acordo
82,82.jpg, Apus ,  sunset,pôr do sol
83,83.jpg, Culturism ,  bodybuilding,fisiculturismo
84,84.jpg, Buddha ,  Buddha,Buda
85,85.jpg, Aparat foto ,  Camera,câmera
86,86.jpg, Musețel ,  Chamomile,camomila
87,87.jpg, Noroc ,  Luck,sorte
88,88.jpg, Feliator brânză ,  Cheese slicer,cortador de queijo
89,89.jpg, Vitraliu ,  stained glass,vitral
90,90.jpg, Ciocan ,  Hammer,martelo
91,91.jpg, Puma ,  mountain lion,leão da montanha
92,92.jpg, Microchip ,  Microchip,microchip
93,93.jpg, Ciclism ,  Cycling,ciclismo
94,94.jpg, Păpădie ,  Dandelion,dandelion
95,95.jpg, Țintă ,  Aim,objetivo
96,96.jpg, Diabet ,  Diabetes,diabetes
97,97.jpg, Manechin ,  Mannequin,manequim
98,98.jpg, Burghiu ,  drill,broca
99,99.jpg, Rouă ,  Dew,orvalho
100,100.jpg, Vultur ,  Vulture,abutre
101,101.jpg, Ignifug ,  Fireproof,à prova de fogo
102,102.jpg, Sculptat ,  carved,esculpida
103,103.jpg, Gorilă ,  Gorilla,gorila
104,104.jpg, Joacă ,  Play,jogar
105,105.jpg, Porc de guineea,Guineea Pig,Guinea Pig
106,106.jpg, Revolver ,  Revolver,revólver
107,107.jpg, Vidră ,  Otter,lontra
108,108.jpg, Curios ,  Curious,curioso
109,109.jpg, Kaki ,  Khaki,caqui
110,110.jpg, Securitate ,  Security,segurança
111,111.jpg, Lavă vulcanică ,  Volcanic lava,lava vulcânica
112,112.jpg, Forță ,  Force,força
113,113.jpg, Scăpărici ,  Lightning Match,relâmpago Jogo
114,114.jpg, Stetoscop ,  Stethoscope,estetoscópio
115,115.jpg, Minion ,  Minion,petite
116,116.jpg, Căpușă ,  Tick,carrapato
117,117.jpg, Cârtița ,  Mole,toupeira
118,118.jpg, Banjo ,  Banjo,banjo
119,119.jpg, Integramă ,  crosswords,palavras cruzadas
120,120.jpg, Dinam ,  Dynamo,dínamo
121,121.jpg, Unt arahide ,  Peanut butter,manteiga de amendoim
122,122.jpg, Înflorit ,  blooming,florescente
123,123.jpg, Bacterii ,  Bacteria,bactérias
124,124.jpg, Maraton ,  Marathon,maratona
125,125.jpg, Geometrie ,  Geometry,geometria
126,126.jpg, Crevete ,  Shrimp,camarão
127,127.jpg, Alunecare ,  slip,deslize
128,128.jpg, Bulă ,  bubble,bolha
129,129.jpg, Hexagon ,  Hexagon,hexágono
130,130.jpg, Spirală ,  Spiral,espiral
131,131.jpg, Chimie ,  Chemistry,química
132,132.jpg, Inteligență artificială ,  Artificial intelligence,inteligência artificial
133,133.jpg, Formație ,  Formation,formação
134,134.jpg, Uzură ,  Wear,desgaste
135,135.jpg, Agricultură ,  Agriculture,agricultura
136,136.jpg, Deraiat ,  derailment,descarrilhamento
137,137.jpg, Viraj ,  Turn,torre
138,138.jpg, Sudură ,  Welding,soldagem
139,139.jpg, Pivniță ,  Cellar,adega
140,140.jpg, Tribal ,  Tribal,tribal
141,141.jpg,,,
142,142.jpg,,,
143,143.jpg,,,
144,144.jpg,,,
145,145.jpg,,,
146,146.jpg,,,
147,147.jpg,,,
148,148.jpg,,,
149,149.jpg,,,
150,150.jpg,,,
151,151.jpg,,,
152,152.jpg,,,
153,153.jpg,,,
154,154.jpg,,,
155,155.jpg,,,
156,156.jpg,,,
157,157.jpg,,,
158,158.jpg,,,
159,159.jpg,,,
160,160.jpg,,,
161,161.jpg,,,
162,162.jpg,,,
163,163.jpg,,,
164,164.jpg,,,
165,165.jpg,,,
166,166.jpg,,,
167,167.jpg,,,
168,168.jpg,,,
169,169.jpg,,,
170,170.jpg,,,
171,171.jpg,,,
172,172.jpg,,,
173,173.jpg,,,
174,174.jpg,,,
175,175.jpg,,,
176,176.jpg,,,
177,177.jpg,,,
178,178.jpg,,,
179,179.jpg,,,
180,180.jpg,,,
181,181.jpg,,,
182,182.jpg,,,
183,183.jpg,,,
184,184.jpg,,,
185,185.jpg,,,
186,186.jpg,,,
187,187.jpg,,,
188,188.jpg,,,
189,189.jpg,,,
190,190.jpg,,,
191,191.jpg,,,
192,192.jpg,,,
193,193.jpg,,,
194,194.jpg,,,
195,195.jpg,,,
196,196.jpg,,,
197,197.jpg,,,
198,198.jpg,,,
199,199.jpg,,,
200,200.jpg,,,
201,201.jpg,,,
202,202.jpg,,,
203,203.jpg,,,
204,204.jpg,,,
205,205.jpg,,,
206,206.jpg,,,
207,207.jpg,,,
208,208.jpg,,,
209,209.jpg,,,
210,210.jpg,,,
211,211.jpg,,,
212,212.jpg,,,
213,213.jpg,,,
214,214.jpg,,,
215,215.jpg,,,
216,216.jpg,,,
217,217.jpg,,,
218,218.jpg,,,
219,219.jpg,,,
220,220.jpg,,,
221,221.jpg,,,
222,222.jpg,,,
223,223.jpg,,,
224,224.jpg,,,
225,225.jpg,,,
226,226.jpg,,,
227,227.jpg,,,
228,228.jpg,,,
229,229.jpg,,,
230,230.jpg,,,
231,231.jpg,,,
232,232.jpg,,,
233,233.jpg,,,
234,234.jpg,,,
235,235.jpg,,,
236,236.jpg,,,
237,237.jpg,,,
238,238.jpg,,,
239,239.jpg,,,
240,240.jpg,,,
241,241.jpg,,,
242,242.jpg,,,
243,243.jpg,,,
244,244.jpg,,,
245,245.jpg,,,
246,246.jpg,,,
247,247.jpg,,,
248,248.jpg,,,
249,249.jpg,,,
250,250.jpg,,,
251,251.jpg,,,
252,252.jpg,,,
253,253.jpg,,,
254,254.jpg,,,
255,255.jpg,,,
256,256.jpg,,,
257,257.jpg,,,
258,258.jpg,,,
259,259.jpg,,,
260,260.jpg,,,
261,261.jpg,,,
262,262.jpg,,,
263,263.jpg,,,
264,264.jpg,,,
265,265.jpg,,,
266,266.jpg,,,
267,267.jpg,,,
268,268.jpg,,,
269,269.jpg,,,
270,270.jpg,,,
271,271.jpg,,,
272,272.jpg,,,
273,273.jpg,,,
274,274.jpg,,,
275,275.jpg,,,
276,276.jpg,,,
277,277.jpg,,,
278,278.jpg,,,
279,279.jpg,,,
280,280.jpg,,,
281,281.jpg,,,
282,282.jpg,,,
283,283.jpg,,,
284,284.jpg,,,
285,285.jpg,,,
286,286.jpg,,,
287,287.jpg,,,
288,288.jpg,,,
289,289.jpg,,,
290,290.jpg,,,
291,291.jpg,,,
292,292.jpg,,,
293,293.jpg,,,
294,294.jpg,,,
295,295.jpg,,,
296,296.jpg,,,
297,297.jpg,,,
298,298.jpg,,,
299,299.jpg,,,
300,300.jpg,,,
301,301.jpg,,,
302,302.jpg,,,
303,303.jpg,,,
304,304.jpg,,,
305,305.jpg,,,
306,306.jpg,,,
307,307.jpg,,,
308,308.jpg,,,
309,309.jpg,,,
310,310.jpg,,,
311,311.jpg,,,
312,312.jpg,,,
313,313.jpg,,,
314,314.jpg,,,
315,315.jpg,,,
316,316.jpg,,,
317,317.jpg,,,
318,318.jpg,,,
319,319.jpg,,,
320,320.jpg,,,
321,321.jpg,,,
322,322.jpg,,,
323,323.jpg,,,
324,324.jpg,,,
325,325.jpg,,,
326,326.jpg,,,
327,327.jpg,,,
328,328.jpg,,,
329,329.jpg,,,
330,330.jpg,,,
331,331.jpg,,,
332,332.jpg,,,
333,333.jpg,,,
334,334.jpg,,,
335,335.jpg,,,
336,336.jpg,,,
337,337.jpg,,,
338,338.jpg,,,
339,339.jpg,,,
340,340.jpg,,,
341,341.jpg,,,
342,342.jpg,,,
343,343.jpg,,,
344,344.jpg,,,
345,345.jpg,,,
346,346.jpg,,,
347,347.jpg,,,
348,348.jpg,,,
349,349.jpg,,,
350,350.jpg,,,
351,351.jpg,,,
352,352.jpg,,,
353,353.jpg,,,
354,354.jpg,,,
355,355.jpg,,,
356,356.jpg,,,
357,357.jpg,,,
358,358.jpg,,,
359,359.jpg,,,
360,360.jpg,,,
361,361.jpg,,,
362,362.jpg,,,
363,363.jpg,,,
364,364.jpg,,,
365,365.jpg,,,
366,366.jpg,,,
367,367.jpg,,,
368,368.jpg,,,
369,369.jpg,,,
370,370.jpg,,,
371,371.jpg,,,
372,372.jpg,,,
373,373.jpg,,,
374,374.jpg,,,
375,375.jpg,,,
376,376.jpg,,,
377,377.jpg,,,
378,378.jpg,,,
379,379.jpg,,,
380,380.jpg,,,
381,381.jpg,,,
382,382.jpg,,,
383,383.jpg,,,
384,384.jpg,,,
385,385.jpg,,,
386,386.jpg,,,
387,387.jpg,,,
388,388.jpg,,,
389,389.jpg,,,
390,390.jpg,,,
391,391.jpg,,,
392,392.jpg,,,
393,393.jpg,,,
394,394.jpg,,,
395,395.jpg,,,
396,396.jpg,,,
397,397.jpg,,,
398,398.jpg,,,
399,399.jpg,,,
400,400.jpg,,,
401,401.jpg,,,
